"Agency","Transition Tender No","Previous Tender No","Action Officer","Project Description","Funding","Closing Date Time","APC Value","Tfec Schedule Date","Tfec Status","Approval Date Board Meeting No","Successful Contractor","Contract Value","Status"
"Department of Works & Highways (DoWH)","NPCTP77","CSTB3818","Guria Verave","Provision of Senior Advisor consultancy services DoWH 1","GoPNG","09/08/18 @10:00AM","K1,085,870.00","23/08/2018","Completed","29/01/19 @BM 01/19","Paul SchuLz","K1,085,870.00","Contract executed on 22nd August 2019."
"Department of Works & Highways (DoWH)","-","CSTB3179","Veari Hitolo","Design and Construction of staff Accommodations for Angau Memorial Hospital in Lae, Morobe Province","GoPNG","12/05/16 @10:00am","-","07/10/2016","Completed","23/11/16 @BM 22/16","1. Haom Builders   2. Lae Builders & Contractors","1. K 15,893,775.47   2. K 26,871,770.00","Project to be cancelled"
"Coffee Industry Corporation (CIC)","-","CSTB3766","-","Rehabilitation of Coffee Export Office in Lae Morobe Province","GoPNG","20/03/18 @10:00am","K10,661,008.43","26/06/2018","Completed","03/07/18 @BM 14/18","Haom Builders","K10,661,008.43","Contract executed on 10th November 2020."
"Department of Works & Highways (DoWH)","-","CSTB3173","Guria Verave","Upgrading and Sealing of Kim Power Corner to Reklamp Market 5.1km in WHP","GoPNG","-","K9,879,892.00","09/01/2015","Completed","06/05/15 @ BM 04/15","PNG Constructions Limited","K9,879,892.00","Contract executed on 22nd July 2022."
"National Emergency Coordination","-","COI83/2018","-","Repairs of Houses & Construction of classrooms in Koroba Secondary School in Hela Province","GoPNG","-","Emergency COI","-","Completed","30/10/18 @BM 21/18","Matrix Construction (PNG) Limited","K4,184,200.64","Contract executed on 17th May 2019."
"Department of Health (DoH)","NPCTP54","CSTB3789A","Veari Hitolo","Supply of Antipsychotic & Parkinsonism Drugs","GoPNG","-","K2,534,255.00","-","Completed","-","Borneo Pacific","K2,534,255.00","Contract executed on 16th May 2019."
"Department of Health (DoH)","NPCTP46","CSTB3786","Veari Hitolo","Supply of Anti-Cancer Drugs","GoPNG","-","K4,403,716.00","-","Completed","31/01/19 @SM No. 01/19","Modern Pharmaceutical","K4,403,716.00","Contract executed on 16th May 2019."
"Department of Health (DoH)","NPCTP51","CSTB3787C","Veari Hitolo","Supply of HIV Fluids","GoPNG","-","K816,500.00","-","Completed","-","Summit Pharmaceuticals","K816,500.00","Contract executed on 16th May 2019."
"Department of Health (DoH)","NPCTP47","CSTB3786E","Veari Hitolo","Supply of Anti-Cancer Drugs","GoPNG","10/04/18 @10:00am","K1,200,000.00","-","Completed","-","Summit Pharmaceuticals","K1,200,000.00","Contract executed on 16th May 2019."
"Department of Health (DoH)","NPCTP44","CSTB3786B","Veari Hitolo","Supply of Anti-Cancer Drugs","GoPNG","10/04/18 @10:00am","K521,820.00","-","Completed","31/01/19 @SM No. 01/19","Boucher & Muir Ltd","K521,820.00","Contract executed on 16th May 2019."
"Department of Works & Highways (DoWH)","NPCTP57","CSTB3815","Guria Verave","Regravelling and Sealing of 8.0km section of Coastal Highway between Rimboi Bridge and Harechi Bridge Section 2 in WSP.","GoPNG","30/08/18 @10:00am","-","09/11/2018","Completed","15/11/18 @BM 22/18","Greenhill Investment Limited","K8,820,234.25","Contract executed on 17th April 2019."
