"Agency","Tender No","Action Officer","Project Description","Funding","Closing Date Time","APC Value Budget Estimate","TFEC Status","Approval Date Board Meeting No","Contractor","Contract Value","Status"
"Department of Works and Highways (DoWH)","NPC2019-31","Guria Verave","Long Term Maintenance on the Magi Highway from Goilanai Bridge (Ch00+00) to Gidisu (Ch127+00)","Australian Aid (AusAID)","04th March 2020@10:00am; Budget Est: K38,099,602.20","-","TFEC Complete on 31st June 2020","M-14/20 dated 15/12/2020","Global Construction Limited","K38,470,850.00","Contract executed on 25th January 2022."
"Department of Works and Highways (DoWH)","NPC2019-32","Guria Verave","Long Term Maintenance on the Boluminsky Highway from Kavieng (Ch00+00 to Poropop (Ch338+00)","Australian Aid (AusAID)","04th March 2020@10:00am; Budget Est: K49,999,618.05","Donor","14/09/2020","M-01/21 dated 11/02/20","G-Man Construction Limited","K50,948,912.08","Contract executed on 9th December 2021."
"Department of Works and Highways (DoWH)","NPC2019-33","Guria Verave","Long Term Maintenance on the West Coast Road from Boluminsky Intersection (Ch00+00) to Fangalawa Junction (Ch198+00)","Australian Aid (AusAID)","-","Pending NO Objection Letter from Aus Aid","-","-","-","-","Follow-up letter to be sent. Pending for AusAid to Confirmation of funding."
"Department of Works and Highways (DoWH)","NPC2019-34","Agaru Agarobe","Long Term Maintenance on the New Britain Highway from Works Junction (Ch00+00) to Pandi River (Ch240+00)","Australian Aid(AusAID)","-","-","-","-","-","-","Advertised on 25/10/22. Pending NO Objection Letter from Aus Aid"
"Tourism Promotion Authority (TPA)","NPC2019-35","Agaru Agarobe","Tourism Sector Development Project - World Bank - Project Manager Consultancy","World Bank","-","-","-","-","-","-","Project Cancelled due to No Response from TPA."
"Department of Works and Highways (DoWH)","NPC2019-36","Guria Verave","Resealing of the New Britain Highway from Kokopo Secondary School (Ch00+00) to Vudal University (Ch36+00)","Australian Aid (AusAID)","23rd Jan/2020@10:00am; Budgest Est: K9,599,790.85","PGK9,599,790.85","03/07/2020","M-08/20 dated 13/08/20","G-Man Construction Limited","K9,365,265.80","Contract executed in 2020."
"Department of Works and Highways (DoWH)","NPC2019-37","Guria Verave","Long Term Maintenance on the Wau Highway from 9 Mile Junction to Pine Top Bridge (CH111.280km) in Morobe Province.","Australian Aid (AusAID)","23rd Jan/2020@ 10:00am","Budget Est: K 60,417,237.10","27/07/2020","M-09/20 dated 28/08/20","Classic Eng & Construction Limited","K64,996,036.80","Contract executed by the Head of State on 09th December 2021."
"Department of Works and Highways (DoWH)","NPC2019-38","Babaga Naime","Design and Build for New Dining Hall","GoPNG","07/05/2020 @ 10:30am","Varies (4 years)","Completed","22.08.2019 BM No. 10/2019","Regional Engineering Construction","K17,382,844.66","Contracts executed by Head of State in 2020."
"Department of Treasury (DoT)","NPC2019-39","Babaga Naime","Procurement of Sovereign Bond Issue","GoPNG","NA","NA","NA","29th August, 2019 - BM 11/2019","Blanket Approval","K7,000,000.00","Certificate of Inexpediency (COI)."
"Department of Works and Highways (DoWH)","NPC2019-40","Guria Verave","Upgrade and Sealing and Associated Works from Halimbu to Koroba (28km)","GoPNG","20th Sept/2019 @10:00am","APC # 22/22 dated 31/06/22","TFEC Completed 18/11/19","09th April 2020 @ BM No: 03/2020","CCECC (PNG) Limited","K88,894,105.63","Contracted executed 15th November 2022."
"Department of Education (DoE)","NPC2019-41","Guria Kinibo","Delivery of Teaching & Learning Component materials procured under the TFF policy for Elementary, Primary and Secondary Schools in the Southern Region","GoPNG","8th Oct 2019@10:00am","K4,120,000.00","01.11.19","12th Nov/2019 @ SM No: 02/2019","Express Customs Limited","K4,120,000.00","Contract executed on 04th December 2019"
"Department of Education (DoE)","NPC2019-42","Geoffrey Kinibo","Delivery of Teaching & Learning Component Materials procured under the TFF Policy for Elementary, Primary and Secondary Schools in the Momase Region","GoPNG","8th Oct 2019@10:00am","K4,730,000.00","TFEC Completed 29/10/19","12th Nov/2019 @ SM No: 02/2019","Subaru Limited","K4,730,000.00","Contract executed on 04th December 2019"
"Department of Education (DoE)","NPC2019-43","Geoffrey Kinibo","Delivery of Teaching & Learning Component Materials procured under the TFF Policy for Elementay, Primary and Secondary Schools in the New Guinea Islands Region","GoPNG","8th Oct 2019@10:00am","K3,280,500.00","TFEC Completed 29/10/19","12th Nov/2019 @ SM No: 02/2019","Vessi Contractor","K3,280,500.00","Contract executed on 04th December 2019."
"Department of Education (DoE)","NPC2019-44","Geoffrey Kinibo","Delivery of Teaching & Learning Component Materials procured under the TFF Policy for Elementary, Primary and Secondary Schools in the Highlands, Western end Region","GoPNG","8th Oct 2019@10:00am","K3,172,960.00","TFEC Completed 29/10/19","12th Nov/2019 @ SM No: 02/2019","Captured Procurement Solution Limited","K3,172,960.00","Contract executed on 04th December 2019."
"Department of Education (DoE)","NPC2019-45","Geoffrey Kinibo","Delivery of Teaching & Learning Component Materials procured under the TFF Policy for Elementary, Primary and Secondary Schools in the Highlands, Eastern end Region","GoPNG","8th Oct 2019@10:00am","K2,399,200.00","TFEC Completed 29/10/19","12th Nov/2019 @ SM No: 02/2019","Target Trading Limited","K2,399,200.00","Contract executed on 04th December 2019."
"Department of Lands and Physical Planning (DLPP)","NPC2019-46","Ernest Tunama","Consultancy Services to LEAP Project","GoPNG","30th June 2020@10:00am","K1.7Million","-","-","-","-","NPC Board Decision dated 14th October 2020 deliberated to retender."
"Department of Health (DoH)","NPC2019-47","Babaga Naime","Emergency Tuberculosis Project","World Bank","COI","-","Cocluded on 17/05/21","-","World Vision Australia","K9,802,000.00","Contract executed on 31st March 2020."
"Department of Works & NEC","NPC2019-48","Frank Hare","Refurbishment of Sir Manasupe Haus","GoPNG","28th Nov/2019 @10:00am","K5 Million","-","-","-","-","Project on hold."
"National Fisheries Authority (NFA)","NPC2019-49","Wanom Nothsman","New NFA HQ Office Fit-out, Corner of Douglas Street & Musgrave Street, Port Moresby","GoPNG","05th Dec/2019 @10:00am","K16 Million","TFEC Concluded","13th March 2020 @ BM No. 02/2020","Clean Green Energy Limited","K14,359,559.77","Contract executed."
"Department of Education (DoE)","NPC2019-50","Geoffrey Kinibo","Purchase and Supply of Elementary English and Mathematics Lesson and Activity books to Department of Education, Curriculum Development Division, Wardstrip, Waigani","GoPNG","14th November /2019 @10:00am","K3,536,498.55","TFEC Concluded 20.11.19","12th Dec/2019 @ BM No:15/2019","MH Supplies Limited","K3,536,498.55","Contract executed on 4th March 2020."
"Department of Education (DoE)","NPC2019-51","Geoffrey Kinibo","Purchase and supply Primary Science Experiment Kit to Department of Education, Curriculum Development Division, Wardstrip, Waigani","GoPNG","14th November /2019 @10:00am","K2,449,118.32","TFEC Concluded 20.11.19","12th Dec/2019 @ BM No:15/2019","MH Supplies Limited","K2,449,118.32","Contract executed on 5th February 2020."
"Department of Education (DoE)","NPC2019-52","Geoffrey Kinibo","Printing and Supply of Standards Based Curriculum Grades 9 to 12 Teachers Guides to Department of Education, Curriculum Development Division, wardstrip, Waigani","GoPNG","14th November /2019 @10:00am","4,246,500.00","TFEC Concluded 20.11.19","12th Dec/2019 @ BM No:15/2019","MH Supplies Limited","K4,240,500.00","Contract executed on 5th February 2020."
"Department of Education (DoE)","NPC2019-53","Geoffrey Kinibo","Printing and Supply of Standards Based Curriculum Grades 9 to 1 Syllabuses to Department of Education, Curriculum Develoment Division, Wardstrip, Waigani","GoPNG","14th November /2019 @10:00am","1,388,200.00","TFEC Concluded 20.11.19","12th Dec/2019 @ BM No:15/2019","Melanesian Publishing Haus","K1,388,200.00","Contract executed on 5th February 2020."
