"Agency","Tender No","Action Officer","Project Description","Funding","Closing Date Time","APC Value","TFEC Status","Schedule TFEC Date","Approval Date Board Meeting No","Contractor","Contract Value","Status"
"Department of Works & Highways (DoWH)","NPC2020-29","Guria Verave","Preparation of Feasibility Study and Detailed Engineering Design for Lae-Malalaua road (Trans-Island Highway)","Asian Development Bank (ADB)","27th September 2021 @ 2:00pm","-","Completed","-","NEC Decision No:NG87/2022","Cardno Emerging Markets (Australia) Pty. Ltd.","USD 6,918,459.00","Contract Executed"
"Department of Works & Highways (DoWH)","NPC2020-30","Guria Verave","Preparation of Feasibility Study and Detailed Engineering Design for roads in Highlands Region","Asian Development Bank (ADB)","07th February 2022 @11:00am","-","Completed","-","MoM No. 12/22 dated 09/09/22","Egis International Limited and PNG Surveys Limited","USD 7,554,596.00","Contract Executed"
"National Information & Communication Technology Authority (NICTA)","NPC2020-31","Geoffrey Kinibo","Construction of eight (8x) meters towers in selected areas within Papua New Guinea","GoPNG","Thursday 30th October 2020 @ 10:00am","K6,000,000.00","Completed","-","-","-","-","Board advised to retender"
"National Information & Communication Technology Authority (NICTA)","NPC2020-32","Geoffrey Kinibo","Installation of Digital Television Services to six (6) selected locations","GoPNG","Thursday 30th October 2020 @ 10:00am","K2,000,000.00","Completed","-","-","-","-","Board advised to retender"
"Department of Education (DoE)","NPC2020-33","Geoffrey Kinibo","Purchase and Supply of teaching and learning component materials under the GRFS Policy","GoPNG","Tuesday 10th November 2020 @10:00am","K76,985,581.00","Completed","-","Special Meeting No: 03/2023","MH Supplies","K74,077,881.62","Contract Executed"
"Department of Education (DoE)","NPC2020-34","Frank Hare","Delivery of Teaching and Learning Component Materials - Southern Region","GoPNG","Tuesday 10th November 2020 @10:00am","K4,419,680.00","Completed","28/11/20 to 29/11/20","-","-","-","Cancelled"
"Department of Education (DoE)","NPC2020-35","Frank Hare","Delivery of Teaching and Learning Component Materials - Momase Region","GoPNG","Tuesday 10th November 2020 @10:00am","K5,669,040.00","-","-","-","-","-","Project withdrawn by NEC"
"Department of Education (DoE)","NPC2020-36","Frank Hare","Delivery of Teaching and Learning Component Materials - New Guinea Islands Region","GoPNG","Tuesday 10th November 2020 @10:00am","K4,110,560.00","-","-","-","-","-","Project withdrawn by NEC"
"Department of Education (DoE)","NPC2020-37","Frank Hare","Delivery of Teaching and Learning Component Materials - Eastern Highlands Region","GoPNG","Tuesday 10th November 2020 @10:00am","K2,782,080.00","TFEC","-","-","-","-","Project withdrawn by NEC"
"Department of Education (DoE)","NPC2020-38","Frank Hare","Delivery of Teaching and Learning Component Materials - Western Highlands Region","GoPNG","Tuesday 10th November 2020 @10:00am","K3,760,960.00","TFEC","-","-","-","-","Project withdrawn by NEC"
