"﻿Agency","Tender No","Tender No Issued Date","Action Officer","Project Description","Funding","Tender Bidding Closing Date Ti","APC Value","Schedule TFEC Date","TFEC Status","Approval Date Board Meeting No","Contractor","Contract Value","Status"
"National Information & Communications Technology Authority (NICTA)","NPC2023-19","12/05/2023","Frank Hare","4G Mobile Broadband Services-Greenfield (2023-UAS-MBG1)                                        ","GoPNG","14/09/2023","""Cert Date: 16/03/23, Cert No: 232353316, Budget Value: K23,500,000.00 (Pending correction on (APC)              ","-","CANCELLED / RE-TENDER","-","-","-","Retender and Tender closed on 14/09/23.                                                                                                  APC received dated 09/06/23.                                                                                                                                                             "
"National Information & Communications Technology Authority (NICTA)","NPC2023-20","12/05/2023","Frank Hare","Radio Broadcasting Services                               (2023-UAS-BR1)","GoPNG","14/09/2023","""Cert Date: 16/03/23
Cert No: 232353318
Budget Value: K2,600,000.00""","-","Completed","B/Meeting No.1 26/04/24","NBC","""K2,000,000.00""","""Contract executed on 30th October 2024"""
"National Information & Communications Technology Authority (NICTA)","NPC2023-21","12/05/2023","Frank Hare","Fixed Broadband Services (2023-UAS-BRX1)                                      ","GoPNG","14/09/2023","""Cert Date: 16/03/23, Cert No: 232353317, Budget Value: K4,950,000.00""","-","Completed","B/Meeting No.1 26/04/24","Digicel (PNG) Limited","""K1,400,000.00""","""Contract executed on 30th October 2024""."
"Department of Works & Highways (DoWH)","NPC2023-22","20/06/2023","Guria Verave","Long-Term Performance-Based Maintenance Service (3years from DOW Junction (CH448+00) to Kapiura (CH398.00km) 48km Section on the New Britain Highway in West New Britain Province.","GoPNG","-","Pending APC","-","-","-","-","-","Pending APC.                                                                                           "
"Department of Works & Highways (DoWH)","NPC2023-23","22/06/2023","Pora Kewa","Long-Term Performance-Based Maintenance Service (3years from Kai Bridge (CH347+76) to Tiaru No.02 Bridge (CH300.20km) 47.56km Section on the New Britain Highway in West New Britain Province. ","GoPNG","-","Pending APC","-","-","-","-","-","Waiting for publishing Request Letter for APC/Certificate to Commence Procurement to APCC dated 07/06/2023.                                                                                "
"National Information & Communications Technology Authority (NICTA)","NPC2023-24","26/07/2023","Hane Hekwa","Procurement of Fixed Mobile and Remote -Controlled Radio Monitoring Equipment - Spectrum Monitoring System Project for Papua New Guinea.","GoPNG","29/02//2024","""APC value: K12,000,000
Certi Date: 14/07/23
Cert No#:232120714""","-","Completed","05/12/2024","Rohde & Schwarz Asia Pte Limited","""K9,644,829""","""Contract executed and approved on 5th December 2024"""
"Department of Education (DoE)","NPC2023-25","27/07/2023","Angeline Oki","""Construction of STEM Laboratory for Sogeri National School of Excellence and Secondary Schools in PNG, Central Province.""","GoPNG","29/03/2024","""APC Value: K3,250,203Certi
Date: 14/07/23
Cert No#: 232350715""","-","Completed","-","-","-","TFEC Report finalized for Board Deliberation. "
"Department of Education (DoE)","NPC2023-26","27/07/2023","Angeline Oki","Construction of STEM Laboratory for Port Moresby National School of Excellence National Capital District.","GoPNG","29/03/2024","""APC Value: K3,250,203
Certi Date: 14/07/23
Cert No#: 232350714""","-","Completed","-","-","-","TFEC Report finalized for Board Deliberation."
"Department of Works & Highways (DoWH)","NPC2023-27","03/08/2023","Guria Verave","""Constract No.41-SRC-CPNG-69/236- The Upgrading, Stabilizing and (RE)Sealing of 67km of Kainantu- Aiyura- Obura Wonenara Road Under Connect PNG Program: Phase1- Pavement recycling,stabilization and sealing of 11.6km between Kainantu/kinston Bridge (CH0+00Km) and Aiyura National High School Gate (CH11+600) including Access to SIL Gate in Kainatu/Obura wonenara Districts of Eastern Highlands Province.""","GoPNG-Program Connect PNG","02/11/2023","Pending APC.","(18/03/24)","Completed","-","Diwani Plant Hire","K9,531,279.13","""Contract executed on 27th January 2025"""
"Department of Works & Highways (DoWH)","NPC2023-28","03/08/2023","Guria Verave","Constract No.41-SRC-CPNG-70/23- The Upgrading, Stabilizing and (RE)Sealing of 67km of Kainantu- Aiyura- Obura Wonenara Road Under Connect PNG Program: Phase 2- Pavement recycling,stabilization and sealing of 54km between Aiyura National High School Gate (CH13+00km) and Obura-Habina junction (CH 67+00Km) in Obura wonenara District of EHP.","GoPNG-Program Connect PNG","02/11/2023","Pending APC.","(18/03/24)","Completed","-","Too Good Limited
","K247,000,000
","The Contract Executed and was awarded to Too Good Limited on 27th March 2025 at Governor General Officer."
"Department of Education (DoE)","NPC2023-29","07/08/2023","Hane Hekwa","Purchase and Supply of grade 11 and 12 Mathematics and Science Textbooks for National Schools of  Excellence and Secondary Schools in Papua New Guinea.","GoPNG","12/10/2023","""Certi Date: 01/08/2023 Cert No#: 232350803
APC Value: K9,695,555""","-","Completed","-","Captured Procurement Solutions","""K9,520,304.21""","""Contract Executed"""
"Department of Education (DoE)","NPC2023-30","07/08/2023","Hane Hekwa","Purchase and Supply of grade 11 and 12 English and Social Science Textbooks for National Schools of  Excellence and Secondary Schools in Papua New Guinea.","GoPNG","12/10/2023","""Certi Date: 01/08/2023             Cert No#: 232350804            APC Value :K5,961,292""","-","Completed","-","Captured Procurement Solutions","""K5,811,105.05""","""Contract awarded and executed""                                                                                                                                                                                                      "
"Department of Works & Highways (DoWH)","NPC2023-31","08/08/2023","Guria Verave","Contract No: 533-CPNG-SRC-PJA/60-2023 Design & Construction of Wewak-Angoram Coastal Highway from Passam Junction (CH00+00) to Angoram (Ch100+00) of 100km road Section under Connect PNG in East Sepik Province.","GoPNG-Program Connect PNG","18/04/2024","""APC Value: K12,000,000
Certi Date: 01/08/2023
Cert No#: 232640801""","Completed","Completed","Special M-No.09/2025 dated 13/08/2025, Decision No.174/2025.  ","China Railway Construction Engineering Group (PNG) Limited","K382,517,799.41","Awarded but awaiting official Contract signing. "
"Internal Revenue Commission (IRC)","NPC2023-32","04/09/2023","Josephine Makiba","Requirement Specification for the Fiscalization Managment System (FMS) Project.","Own funding Source","31/10/23","Awaiting APCC to release Certificate to Commence Procurement (APC).","TFEC Completed (24/03/24 -27/03/24)","Completed","B/Meeting No.05 1st July,2024","Virtual Flex Solutions Limited","K11,895,600.00","Contract executed on 18th march,2025 "
