"﻿Agency","Tender No","Tender No Issued Date","Action Officer","Project Description","Funding","Tender Bidding Closing Date Ti","APC Value","Schedule TFEC Date","TFEC Status","Approval Date Board Meeting No","Contractor","Contract Value","Status Comment"
"Department of Health (DoH)","NPC2024-01","17/01/2024","Veari Hitolo","Installation, Certification & Commissioning of the 21 Medical Waste Incinerators for the 21 Provincial Hospitals & Procurement of related Equipment & Supplies.                        (Single Source Procurement).","World Bank","Closed","No Objection Letter dated 25/08/23 from World Bank Office             US$8,204,008, (K29,990,538.83).                      ","-","Completed","NPC Board meeting No.15 of 2023 held on 29/12/23. NEC Policy Submission 13/11/23.","United Nations Office for Project Services (UNOPS)","US$8,204,008 (K29,990,538.83).","Contract executed on 04th July 2024. "
"Immigration & Citizenship Services Authority (ICSA)","NPC2024-02","06/02/2024","Angeline Oki","Integrated Border Management System (IBMS) Project for the Papua New Guinea Immigration & Citizenship Services Authority.","GoPNG","06/08/2024","Tender Cancel","Nil","cancel","cancel","N/A","N/A","Tender cancelled "
"Department of Education (DoE)","NPC2024-03","06/02/2024","Geoffrey Kinibo","Education Haus Project.","GoPNG","-","-","-","-","-","-","-","Agency request letter was attached requesting a new tender to enable DoE & GOAC to advance progress.  NPC2024-03 replace CSTB 3383 (EOI) which has progressed into second stage of pre-qualification."
"National Fisheries Authority (NFA)","NPC2024-04","20/02/2024","Pora Kewa","Construction of NFA Office Complex at Voco Point, Lae, Morobe Province.","GoPNG","15/10/2024","Pending APC","01/12/24 to 05/12/2024","Completed","-","-","-","The project to be retendered."
"Coffee Industry Corporation (CIC)","NPC2024-05","04/03/2024","Wanom Nothsman","Rehabilitation of Gera to Mouwa Feeder Road (CH0.0-5.30km), Sinesine Yongomugl District, Simbu Province.","World Bank","14/05/2024","Letter of No Objection dated 27/05/2025, Confirm funding of PGK4,817,210.75 million","14/08/2024-18/08/2024","Completed","M-No.03/2025 held on 08/05/2025","Kaia Works Limited ","K4,817,210.75 ","Contract agreement signed on 18th July 2025. "
"Coffee Industry Corporation (CIC)","NPC2024-06","04/03/2024","Elina Norman","Rehabilitation of Kamborini to Wala Feeder Road (CH0.0-5.50km), South Wiru, Ialibu Pangia District, Southern Highlands Province.","World Bank","14/05/2024","K3,575,650.10","-","Completed","NPC Board Meeting No13 of 2024.held on 13December 2024","Bushdog Construction Limited","K3,233,877.63","Contract executed and awarded on 20th January 2025. "
"Coffee Industry Corporation (CIC)","NPC2024-07","04/03/2024","Wanom Nothsman","Rehabilitation of Ice Wara Junction to Habina Feeder Road (CH0.0-2.8km), Lamari LLG, Obura Wonenara District, Eastern Highlands Province. ","World Bank","14/05/2024","-","-","-","-","-","-","Tender Cancelled,To Retender."
"Department of Works & Highways (DoWH)","NPC2024-08","20/03/2024","Veari Hitolo","Pre-qualification tenders for the delivery of the Governmnent Business Precinct.                                                            (DoWH Headquarters Redevelopment Project).","GoPNG","08/05/2024 submissions due & 09/10/2024 bidding period closed.","-","-","-","-","-","-","Awaiting response from Agencies to compile nominees for pre-evaluation. EOI tender opened/closed on 09/05/2024. EOI submittions closed 08/05/2024 @4pm."
"Department of Works & Highways (DoWH)","NPC2024-09","26/03/2024","Guria Verave","Procurement of Goroka City Road Section from Mount Zion to Goroka Market to 2way  4Lane anns stablised base coure and asphaltic concrete pavement road standard in EHP under Connect PNG Program.","GoPNG-Program Connect PNG","13/06/2024","-","-","Complete ","-","-","-","DoWH in process of doing policy paper for NEC.TFEC completed 27/02/25.Will submit to Board for its deliberation. Pre-bid meeting on 16/05/24. Tender advertised on 06/05/24.Tender Number issued 26/03/24. "
"Department of Works & Highways (DoWH)","NPC2024-10","15/04/2024","Guria Verave","Upgrading and Sealing of Madang Coastal Highway from Nubia to Bunapas - 26.00km Road under Connect PNG Program in Madang Province.","GoPNG-Program Connect PNG","31/07/2024","-","-","Completed","-","-","-","TFEC Report Submitted to Board for its deliberation. Bidding period extended to 31/07/24. "
