"﻿Agency","Tender No","Tender No Issued Date","Action Officer","Project Description","Funding","Tender Bid  Close  Date Time","APC Value","Schedule TFEC Date","TFEC Status","Approval Date Board Meeting No","Contractor","Contract Value","Status Comments"
"Eastern Highlands Provincial Administration (EHPA)","NPC2025-01","28/01/2025","Cathy Moinana","The Construction of Yanepa Srage One (New Building)3-Storey Office Complex","Eastern Highlands Provincial Government (EHPG)","10:00am  07/03/25","-","-","Completed","-","-","K22,551,92.93","Pending Board Decision. Evaluation Done and Finalizing the TFEC Report."
"PNG Extractive Industries Transparency Initiative (PNGEITI)","NPC2025-02","04/02/2025","Josephine Makiba","Muti-Year Contract For the Preparation of PNGEITI Fiscal Year. (EOI)","GoPNG","-","-","-","-","-","-","-"," APCC Received on 02/4/25. Awaiting for APCC & the amended terms of Reference"
"Independent Commission Against Corruption (ICAC) PNG ","NPC2025-03","12/02/2025","Hane Hekwa","Office Fitout Project,Moki Business Park Waigani","GoPNG","-","Cert No.2536003103 K6,185,408.00 and K4,671,833.00","-","Completed","-","Concierge Limited","K9,592,979.18","Contract Executed on 14th January 2026."
"Department of Prime Minister & National Executive Council (PM&NEC)","NPC2025-04","06/03/2025","Macnamana Hitolo","Single Source Procurement Method for the Procurement of Robotic Scanner for the office of the National Executive Council.","National Executive Council (NEC)","-","K1335,667.00","-","Completed","Approved","Book2eBook Company in Australia","K1,335,667.00","The Board deliberated and resolved to Accept and Approve the use of Single Source Procurement Method. However, due to revised quotation (PGK 1,488,435.27), the NPC Board will have to re approve the amended contract value, letter dated 27th August 2025.   "
"Department of Finance (DoF)","NPC2025-05","24/03/2025","Hane Hekwa","Single Source Procurement Method for the Procurement to Procure Integrated Financial Management Information System (IFMS) from Technology one by the Department of Finance","Government of Papua New Guinea (GoPNG)","-","-","-","-","NPC Board Meeting No.2 of 2025 held on 19th March 2025","Company Technology One in Australia","K6,759,597.50","The Board deliberated and resolved to Accept and Approve the use of Single Source Procurement Method."
"Port Moresby General Hospital","NPC2025-06","28/05/2025","Macnamana Hitolo","Single Source Procurement Method for the installation of main Electric Switchboard (MSB), ATS & AMP; Paralleling Switchboard of the Cancer Centre at Port Moresby General Hospital","GoPNG","-","-","-","-","NPC Board Meeting No.3 of 2025 held on 08th May 2026","Pacific Network Limited","K4,133,209.49","Contract Executed."
"Port Moresby General Hospital","NPC2025-07","28/05/2025","Macnamana Hitolo","Single Source Procurement Method for the Network Infrastructure Upgrade of the New Cancer Centre at the Port Moresby General Hospital","GoPNG","-","-","-","-","NPC Board Meeting No.3 of 2025 held on 08th May 2026","Pacific Network Limited","K4,422,761.24","Contract Executed."
"Department of Works and Highways (DoWH)","NPC2025-24","12/08/2025","Angeline.oki","Preparation of Feasibility Studies ,Including Option Analysis, Environment and Social Safeguard Studies, Gender Analysis ,Detained Engineering Designs ,Bidding Documents & Advanced Procurement Actions for Subnational Roads for Project 1 in: Southern Region.","Asian Development Bank (ADB)","-","-","-","-","-","-","-","Waiting for Tender Advertistement.Tender Number issued 12/08/2025. "
"Department of Works and Highways (DoWH)","NPC2025-25","12/08/2025","Angeline.oki","Preparation of Feasibility Studies ,Including Option Analysis,Environment and Social Safeguard Studies,Gender Analysis ,Detained Engineering Designs ,Bidding Documents & Advanced Procurement Actions for Subnational Roads for Project 1 in: Highlands Region","ADB","-","-","-","-","-","-","-","Waiting for Tender Advertistement.Tender Number issued 12/08/2025. "
"Department of Treasury ","NPC2025-29","20/08/2025","Wanom Nothsman","Upgrade of ICT infrastructure for Department of Treasury. ","GoPNG Recurrent","14th October 2025","Cert No. 2520807112 Cert Date: 16/07/2025","-","Evaluation in progress","-","-","-"," TFEC Report submitted to NPC Board for deliberation. Evaluation is in the progress to finalize the TFEC report. Tender number issued on 20/08/2025. Attachments draft RFT, Request letters, APC & proposal phase 2025. "
"National Energy Authority (NEA)","NPC2025-37","10/10/2025","Vincant D","Procurement and Installation of Power Supply Monitoring System. ","GoPNG","21/11/2025 @ 10am","Cert No: 2535010701 Cert Date: 06/10/2025","-","-","-","-","-","Requesting for TFEC Nominees. Bidding period closed 21/11/2025. Tender advertised on 05/11/2025. Tender number issued on 10/10/2025. Draft RFT, Request letter from agency & APC attached. "
"National Department of Health (NDoH)","NPC2025-41","20/11/2025","Josephine Makiba","Single Source Procurement for Technical Assistance for upskilling Health Care Workers, Supporting Community-Based Interventions, and Rollout of mSupply System for Supply of Chain Management under the World Bank Financed Improving Access to and Value from Health Services in PNG, Financing the Frontlines (IMPACT Health) (P167184).","World Bank ","-","-","-","Complete","Meeting No: 09 of 2025 held on 14th October 2025","United Nations Children's Fund (UNICEF)","USD 2,399,716 equivalent to: K9,738,767.00","Contract Executed on 14 January 2026"
"Ministry of Education-Office of Libraries and Archives (OL&A)","NPC2025-32","23/09/2025","Elton Eka","Construction of Kerema Provincial Library and Archives in Kerema, Gulf Province. (Re-tender NPC2024-02). ","GoPNG","-","-","-","-","-","-","-","Tender number issued on 23/09/2025. Request letter & decision letter attached. "
"Civil Aviation & Safety Authority (CASA). ","NPC2025-45","19/12/2025","Hane Hekwa","Design Consultant for Aviation House Project. ","GoPNG","-","Cert Date: 22/06/2023 Cert No.: 235650622 Fund Source: PNG Dev","-","-","-","-","-","Tender Advertised on 23/01/2026.Tender number issued on 19/12/2025. "
"Department of Works & Highways (DoWH)","NPC2025-08","30/05/2025","Guria Verave","Output and Performance Based Road Contract for Ramu Highway between Watarais and Yanema Bridge in Morobe and Madang Provinces.","World Bank","-","-","-","-","-","-","-","Tender Number issued 30/05/2025"
"Department of Works and Highways (DoWH)","NPC2025-15","30/06/2025","Hane Hekwa","Expression of interest for field investigation and Design of Ramu Highway Ranges-Madang Province.","GoPNG & World Bank ","-","-","-","-","-","-","-","Awaiting TFEC. Request for TFEC Nominees sent out. Tender advertised on 29/07/25.  "
"Ombudsman Commission (OC) of PNG","NPC2025-16","16/07/2025","Christopher. A","Construction of three (3) bedroom quadruplex house for Ombudsman Commission in Lae, Morobe Province. ","GoPNG","Thursday 11/09/2025","Request letter-CCP/APC dated 16/07/2025","-","-","-","-","-","Awaiting TFEC nominee from DoWH to evaluate.  Advertised on 21/08/2025. Request certificate to commence procurement letter dated 01/07/2025. Draft RFT attached. OC request letter to NPC dated 12/06/2025."
"Department of Works and Highways (DoWH)","NPC2025-26","12/08/2025","Angeline.oki","Preparation of Feasibility Studies ,Including Option Analysis, Environment and Social Safeguard Studies, Gender Analysis ,Detained Engineering Designs ,Bidding Documents & Advanced Procurement Actions for Subnational Roads for Project 1 in: Northern Region","ADB","-","-","-","-","-","-","-","Waiting for Tender Advertistement.Tender Number issued 12/08/2025. "
"Department of Works and Highways (DoWH)","NPC2025-27","12/08/2025","Angeline.oki","Preparation of Feasibility Studies, Including Option Analysis, Environment and Social Safeguard Studies, Gender Analysis, Detained Engineering Designs, Bidding Documents & Advanced Procurement Actions for Subnational Roads for Project 1 in: New Guinea Islands Region","ADB","-","-","-","-","-","-","-","Waiting for Tender Advertistement.Tender Number issued 12/08/2025. "
"National Department of Health (NDoH)","NPC2025-28","13/08/2025","Veari Hitolo","Re-Development of the Lae Area Medical Store,lae,Morobe Province.","National Department of Health","-","-","-","-","-","-","-","Tender Number Issused 13/08/2025"
"Department of Lands and Physical Planning (DLPP).","NPC2025-38","07/11/2025","Veari Hitolo","Single Source Procurement for Construction of Trunk Infrastructure on acquired land at Laloki in Central Province under the Land Partnership for DL&PP.","GoPNG","NA","K58,000,000.00","NA","NA","-","Mt. Lawes Housing Estate Limited","K58,000,000.00","Awaiting NEC approval.  "
"Department of Health ","NPC2025-42","November 27th,2025","Veari Hitolo","Major rehabilitation of Air Conditioning System for the Operating Theatre at Buka Hospital, Autonomous Region of Bougainville  ","GoPNG","-","-","-","-","-","-","-","-"
"Department of Works & Highways (DoWH)","NPC2025-09","30/05/2025","Guria Verave","Output and Performance Based Road Contract for Ramu Highway Between Tapo Ford and Madang Airport Junction in Madang Province.","World Bank","-","-","-","-","-","-","-","Bidding period is opened, and was advertised on Monday 08th September2025."
"Department of Works & Highways (DoWH)","NPC2025-17","25/07/2025","Hane Hekwa","Consultancy Package No. CS-16: Livelihoods Diversification and Strengthening of Community Awareness for project impact roads in WHP-Jiwaka-Simbu-EHP.","ADB Loan Financing ","-","Letter of No Objection yet to be obtained","-","-","-","-","-","Request letter from DoWH, ADB and Terms of References attached"
"Department of Works & Highways (DoWH)","NPC2025-18","25/07/2025","Hane Hekwa","Consultancy Package No. CS-17: GBV Prevention and Response- Western Highlands Province","ABD Loan Financing ","-","Letter of No Objection yet to be obtained","-","-","-","-","-","Request letter from DoWH, ADB and Terms of References attached"
"Department of Works & Highways (DoWH)","NPC2025-19","25/07/2025","Hane Hekwa","Consultancy Package No. CS-18: GBV Prevention and Response-Simbu and Eastern Highlands Province. ","ADB Loan Financing","-","Letter of No Objection yet to be obtained","-","-","-","-","-","Request letter from DoWH, ADB and Terms of References attached"
"Port Moresby General Hospital (POMGEN)","NPC2025-33","23/09/2025","Veari Hitolo","Single Source Procurement for the Power Source and Main Electrical Cables for Cancer Center at Port Moresby General Hospital. ","GoPNG","-","K8,681,066.48","-","-","M-No.08 of 2025 held on 04/09/2025. ","Pacific Network Limited.","K8,681,066.48","Contract awarded as per NPC Board decision on 04/09/2025. "
"Department of Health (DoH)","NPC2025-34","24/09/2025","Veari Hitolo","Single Source Procurement for the Agreement for Delivery of Outputs between National Department of Health (NDOH) and United Nations Office for Project Services (UNOPS) for: 1. Conducting Health Facility Audits, 2. Development of a Costed and Prioritized Investment Plan, 3. Procurement, Delivery and Installation of Essential Equipment, 4. Detailed Design and Rehabilitation Works of priority Health Facilities, 5. Project Management and Capacity Building. In Central, Chimbu and East Sepik and East New Britain Provinces. ","GoPNG & UNOPS","-","US$11,888,683.00 (PGK48,723,764.18).","-","-","B-Meeting No.08 of 2025, held on 04/09/2025. ","National Department of Health (NDOH) and United Nations Office for Project Services (UNOPS). ","US$11,888,683.00 (PGK48,723,764.18).","Contract awarded through Single Source procurement on 4th September 2025. "
"University of Technology (UoT)","NPC2025-35","24/09/2025","Veari Hitolo","Single Source Procurement Full Design and Documentation of the Multi-purpose Hall at the PNG University of Technology. ","GoPNG","-","K4,976,746.00","-","-","NPC Board Circular Resolution No.01 of 2025 dated 27th August 2025. ","Pacific Architects Consortium Limited","K4,976,746.00","Contracted approved as Single Source Procurement on 27th August 2025. "
"Southern Highlands Provincial Government (SHPG)","NPC2025-40","17/11/2025","Agaru Agarobe","Design and Construction of 3 Storey Seat of Good Governance Building, Mendi, Southern Highlands Province.","Own Source (LNG Levy) GoPNG","-","Cert No: 2557710813 Cert Date: 27/10/2025","-","-","-","-","-","RFT and Certificate to Commence Procurement have been submitted; however, the implementing Agency has not yet provided the BOQ & Drawings."
